,Band,Song,Player,Technique,Difficulty,Score
59,Johann Sebastian Bach,Bouree,,['Acoustic Guitar (steel)'],Intermediate,4/8
60,As I Lay Dying,Through Struggle,Samuel Nicholas Keali'iokalani Hipa,['Distortion Guitar'],Intermediate,3/8
61,Lynyrd Skynyrd,Free Bird,,"['Distortion Guitar', 'Allen Collins (Lead Guitar-Right Stereo)']",Advanced,6/8
62,Judas Priest,Breaking The Law,Glenn Tipton,['Distortion Guitar'],Intermediate,3/8
63,Gojira,Silvera,,"['Distortion Guitar', 'Joe Duplantier (Guitar)']",Intermediate,4/8
64,Bullet For My Valentine,Waking The Demon,Matt Tuck,['Distortion Guitar'],Intermediate,4/8
65,Joe Hisaishi,Spirited Away Ost - One Summer's Day,,['Acoustic Guitar (nylon)'],Beginner,2/8
66,Blue Oyster Cult,Don't Fear The Reaper,,"['Electric Guitar (clean)', 'Guitar 1']",Beginner,2/8
67,Plain White T's,Hey There Delilah,,['Acoustic Guitar (steel)'],Beginner,2/8
68,Led Zeppelin,Whole Lotta Love,,"['Distortion Guitar', 'Jimmy Page Guitar 1 (w/dist) ']",Intermediate,3/8
69,Eddie Van Der Meer,Naruto Ost - Sadness & Sorrow (Fingerstyle),,"['Acoustic Guitar (steel)', 'Steel Guitar']",Beginner,2/8
70,Jimi Hendrix,Purple Haze,Jimi Hendrix,['Distortion Guitar'],Intermediate,3/8
71,Joe Satriani,"Always With Me, Always With You",Melody,['Distortion Guitar'],Intermediate,5/8
72,Lemon,Kenshi Yonezu 米津玄師,트랙 1,['Acoustic Guitar (nylon)'],Intermediate,3/8
73,Yann Tiersen,La Valse D'amélie (Acoustic),Solo,['Acoustic Guitar (nylon)'],Intermediate,4/8
74,Pantera,I'm Broken,Dimebag Darrell,['Distortion Guitar'],Intermediate,4/8
75,Eddie Van Der Meer,Unravel - Tokyo Ghoul OP 1,,"['Acoustic Guitar (steel)', 'Steel Guitar']",Intermediate,4/8
76,Killswitch Engage,My Curse,Adam D.,['Distortion Guitar'],Intermediate,4/8
77,The Police,Every Breath You Take,Andy Summers,['Electric Guitar (clean)'],Beginner,2/8
78,Gary Moore,Parisienne Walkways,Solo,['Distortion Guitar'],Intermediate,3/8
79,Disturbed,Down With The Sickness,Dan Donegan,"['Guitar', 'Distortion Guitar']",Intermediate,3/8
80,Firelake,Dirge For The Planet,Lead,['Acoustic Guitar (steel)'],Beginner,2/8
81,Alice in Chains,Man In The Box,Jerry Cantrell,"['Lead Guitar', 'Distortion Guitar']",Beginner,2/8
82,Jaskier,Toss A Coin To Your Witcher,,"['Acoustic Guitar (nylon)', 'Nylon Guitar']",Beginner,2/8
83,Carlos Santana,Smooth,C. Santana,['Distortion Guitar'],Intermediate,3/8
84,The White Stripes,Seven Nation Army Edit,,"['Distortion Guitar', 'Guitar 1']",Beginner,1/8
85,Avenged Sevenfold,Nightmare,Lead,"['Synyster Gates', 'Distortion Guitar']",Intermediate,3/8
86,Bon Jovi,You Give Love A Bad Name,,['Distortion Guitar'],Beginner,2/8
87,The Rolling Stones,Angie,,['Acoustic Guitar (steel)'],Beginner,2/8
88,John Petrucci,Glasgow Kiss,,"['Distortion Guitar', 'Lead Guitar']",Advanced,6/8
89,The Rolling Stones,Paint It Black,Keith Richards,"['Lead Guitar', 'Electric Guitar (clean)']",Intermediate,3/8
90,Sting,Shape Of My Heart,,['Acoustic Guitar (nylon)'],Intermediate,3/8
91,Megadeth,In My Darkest Hour,Dave Mustaine,"['Distorted Guitar', 'Distortion Guitar']",Intermediate,4/8
92,Johann Sebastian Bach,Toccata And Fugue (Bwv 565),,"['Acoustic Guitar (nylon)', 'Guitare classique']",Intermediate,5/8
93,Kotaro Oshio,Twilight,트랙 1,['Acoustic Guitar (nylon)'],Intermediate,3/8
94,Neil Wicker,"Shallow (Lady Gaga, Bradley Cooper)",,['Acoustic Guitar (steel)'],Beginner,2/8
95,Francisco Tarrega,Gran Vals,,"['Acoustic Guitar (nylon)', 'N.Guitar']",Intermediate,3/8
96,Lamb Of God,Walk With Me In Hell,,"['Distortion Guitar', 'Mark Morton (Lead Guitar)']",Intermediate,4/8
97,Stevie Ray Vaughan,Pride And Joy,Stevie Ray Vaughan,['Overdriven Guitar'],Intermediate,4/8
98,Megadeth,Peace Sells,Dave Mustaine,['Distortion Guitar'],Intermediate,3/8
99,Death,Voice Of The Soul,Lead 1  Chuck Schuldiner,['Distortion Guitar'],Intermediate,4/8
100,Kana-Boon,Silhouette,,"['Hayato Koga', 'Distortion Guitar', 'Lead Guitar']",Intermediate,4/8
101,Jeff Buckley,Hallelujah (Fingerstyle),Track 1,['Acoustic Guitar (nylon)'],Beginner,2/8
102,Skillet,Monster,Ben Kasica,['Distortion Guitar'],Beginner,1/8
103,Extreme,More Than Words,Trilha 1,['Acoustic Guitar (steel)'],Beginner,2/8
104,Lil Peep,Star Shopping,Track 1,['Acoustic Guitar (steel)'],Intermediate,3/8
105,Seether,Careless Whisper,,['Distortion Guitar'],Beginner,2/8
106,Van Halen,Hot For Teacher,Eddie Van Halen (Disortion),['Distortion Guitar'],Intermediate,5/8
107,Aerosmith,Walk This Way,,"['Overdriven Guitar', 'Rhythm Guitar 1']",Intermediate,3/8
108,Megadeth,Sweating Bullets,,"['Distortion Guitar', 'Distortion Guitar-Dave Mustaine']",Intermediate,4/8
109,Steve Vai,Eugene's Trick Bag (Crossroads),Track 1,['Distortion Guitar'],Advanced,8/8
110,Tool,The Pot,,"['Distortion Guitar', 'Guitar 1 w/ delay']",Intermediate,3/8
111,Eric Clapton,Layla (Acoustic),Eric Clapton,['Acoustic Guitar (steel)'],Beginner,2/8
112,Jason Becker,Altitudes,Jason Becker,"['Lead', 'Distortion Guitar']",Advanced,8/8
113,Lamb Of God,Laid To Rest,Willie Adler,['Distortion Guitar'],Intermediate,5/8
114,Duman,Bu Akşam,Kaan Tangöze,['Distortion Guitar'],Beginner,2/8
115,Iron Maiden,The Trooper,Dave Murray,['Distortion Guitar'],Intermediate,4/8
116,Death,Symbolic,Chuck Schuldiner,['Distortion Guitar'],Intermediate,3/8
117,Cream,Crossroads,Clapton,['Overdriven Guitar'],Intermediate,4/8
118,Lamb Of God,Redneck,Mark Morton,['Distortion Guitar'],Intermediate,4/8
119,Mountain,Mississippi Queen,Gtr 2,['Distortion Guitar'],Intermediate,3/8
120,Simon And Garfunkel,Sound Of Silence,,['Acoustic Guitar (steel)'],Beginner,2/8
121,Ozzy Osbourne,Mr. Crowley,Randy Rhoads,"['Lead (R.I.P. 1982)', 'Distortion Guitar']",Intermediate,5/8
122,Metallica,All Nightmare Long,James Hetfield,['Distortion Guitar'],Intermediate,4/8
123,Iron Maiden,Hallowed Be Thy Name,Dave Murray,['Distortion Guitar'],Intermediate,3/8
124,Metallica,Blackened,James Hetfield (Rhythm),['Distortion Guitar'],Intermediate,4/8
125,Limp Bizkit,Behind Blue Eyes (The Who Cover),Wes Borland,"['Guitar', 'Acoustic Guitar (steel)']",Beginner,2/8
126,Paul Gilbert,Technical Difficulties,Paul Gilbert,['Distortion Guitar'],Advanced,7/8
127,Gary Moore,Still Got The Blues,,"['Distortion Guitar', 'Dist. Guitar Solo']",Intermediate,5/8
128,Francisco Tarrega,Lágrima,,"['Acoustic Guitar (nylon)', 'Guitare']",Beginner,2/8
129,Spanish Song,Spanish Romance,Track 1,['Acoustic Guitar (nylon)'],Beginner,2/8
130,Metallica,Fade To Black,James Hetfield,"['Acoustic Guitar', 'Acoustic Guitar (steel)']",Intermediate,3/8
131,Sublime,Santeria,,"['Electric Guitar (clean)', 'Bradley Nowell (Guitar)']",Intermediate,3/8
132,Opeth,Ghost Of Perdition,M. Akerfeldt,['Distortion Guitar'],Intermediate,4/8
133,Led Zeppelin,Rock And Roll,Jimmy Page,"['Lead Guitar', 'Distortion Guitar']",Intermediate,3/8
134,Jimi Hendrix,All Along The Watchtower,,"['Overdriven Guitar', 'Guitar I']",Intermediate,5/8
135,Pearl Jam,Yellow Ledbetter,Mike McCREADY (Clean),['Electric Guitar (clean)'],Intermediate,4/8
136,Dream Theater,Another Day,John Petrucci (Solos),['Distortion Guitar'],Intermediate,5/8
137,Radiohead,Paranoid Android,,"['Acoustic (Thom Yorke)', 'Acoustic Guitar (steel)', 'Guitar 1']",Beginner,2/8
138,Tenacious D,The Metal,Guitar (John Konesky) [Distorted,['Distortion Guitar'],Intermediate,3/8
139,System of a Down,Aerials,Daron Malakian,['Electric Guitar (clean)'],Intermediate,3/8
140,Stevie Ray Vaughan,Little Wing,Overdub,['Electric Guitar (jazz)'],Intermediate,5/8
141,Judas Priest,Painkiller,Glenn Tipton,['Distortion Guitar'],Intermediate,5/8
142,Metallica,The Day That Never Comes,James Hetfield (Clean Rhythm),['Electric Guitar (clean)'],Beginner,2/8
143,Metallica,Fuel,,"['Distortion Guitar', 'James Hetfield (Guitar)']",Intermediate,3/8
144,Yngwie Malmsteen,Arpeggios From Hell,,['Distortion Guitar'],Advanced,6/8
145,Alice Cooper,Poison,,"['Distortion Guitar', 'Lead guitar']",Beginner,2/8
146,Dream Theater,Metropolis Part 1 The Miracle And The Sleeper,John Petrucci,"['Guitar 1', 'Distortion Guitar']",Intermediate,4/8
147,Metallica,The Shortest Straw,James Hetfield (Distortion),['Distortion Guitar'],Intermediate,3/8
148,Slayer,Seasons In The Abyss,,"['Kerry King', 'Distortion Guitar', 'Rhythm Guitar']",Beginner,2/8
149,Journey,Don't Stop Believin',,"['Distortion Guitar 1', 'Guitar (Neal Schon)']",Intermediate,4/8
150,Slipknot,Duality,Mick Thomson,['Distortion Guitar'],Intermediate,3/8
151,Muse,Plug In Baby,Matt Bellamy (lead),['Distortion Guitar'],Intermediate,3/8
152,Scorpions,Still Loving You,Rhythm,['Distortion Guitar'],Intermediate,3/8
153,Guns N' Roses,Knockin' On Heaven's Door,Slash Leads,['Distortion Guitar'],Intermediate,3/8
154,Soundgarden,Black Hole Sun,Kim Thayil,"['Guitar 1', 'Electric Guitar (clean)']",Beginner,2/8
155,Buckethead,Soothsayer,,"['Distortion Guitar', 'Lead Guitar']",Intermediate,5/8
156,Steve Vai,For The Love of God,Steve Vai,"['Lead Guitar', 'Distortion Guitar']",Intermediate,5/8
157,Cannibal Corpse,Hammer Smashed Face,,"['Distortion Guitar 1', 'Electric Guitar']",Intermediate,4/8
158,Joan Jett,I Love Rock N' Roll,,"['Overdriven Guitar', 'Guitar 2']",Intermediate,3/8
159,Sungha Jung,(Your Name) Sparkle,к«иб 1,['Acoustic Guitar (steel)'],Intermediate,5/8
160,Pixies,Where Is My Mind,,"['Distortion Guitar', 'Joey Santiago (Right Guitar)']",Beginner,2/8
161,Dream Theater,Pull Me Under,John Petrucci,"['Guitar 1', 'Distortion Guitar']",Intermediate,4/8
162,KISS,I Was Made For Loving You,Paul Stanley,['Distortion Guitar'],Intermediate,3/8
163,Metallica,Jump In The Fire,Kirk Hammett,['Distortion Guitar'],Intermediate,4/8
164,Death,Spirit Crusher,Chuck Schuldiner ,['Distortion Guitar'],Intermediate,3/8
165,Mac Demarco,Freaking Out The Neighbourhood,,"['Electric Guitar (clean)', 'Lead Guitar']",Beginner,2/8
166,Cream,Sunshine Of Your Love,Eric Clapton,['Overdriven Guitar'],Intermediate,3/8
167,Van Halen,Unchained,Eddie Van Halen,['Distortion Guitar'],Beginner,2/8
168,Fairy Tail,Main Theme (Fingerstyle),,['Acoustic Guitar (nylon)'],Beginner,2/8
169,Rage Against The Machine,Bombtrack,Tom Morello,"['Rhythm', 'Distortion Guitar']",Intermediate,3/8
170,Jojo's Bizarre Adventure Golden Wind,Giorno's Theme,,"['Overdriven Guitar', 'Guitar 1']",Intermediate,3/8
171,Yngwie Malmsteen,Far Beyond The Sun,Yngwie J. Malmsteen,"['Lead Guitar', 'Distortion Guitar']",Advanced,7/8
172,B.B. King,The Thrill Is Gone,B.B. Lead,['Overdriven Guitar'],Intermediate,3/8
173,3 Doors Down,Kryptonite,,"['Electric Guitar (clean)', 'Guitar 1']",Intermediate,3/8
174,Rammstein,Du Hast,Paul Landers,['Distortion Guitar'],Intermediate,3/8
175,Jim Croce,Time In A Bottle,Track 2,['Acoustic Guitar (steel)'],Beginner,1/8
176,Pearl Jam,Even Flow,Mike McCready,"['Lead Guitar 1', 'Distortion Guitar']",Intermediate,3/8
177,Pantera,Domination,,"['Distortion Guitar', 'Dime Lead Guitar']",Intermediate,5/8
178,Sungha Jung,(Hisaishi Joe) Sen To Chihiro Spirited Away : Inochi No Namae,­µ­y 1,['Acoustic Guitar (steel)'],Intermediate,4/8
179,Green Day,When I Come Around,Billie Joe Armstrong,['Distortion Guitar'],Intermediate,3/8
180,Slipknot,Snuff,Mick Thomson (Acoustic),['Acoustic Guitar (steel)'],Beginner,2/8
181,Amon Amarth,The Pursuit Of Vikings,Olavi Mikkonen,['Distortion Guitar'],Intermediate,3/8
182,Nirvana,About A Girl,Kurt Cobain,['Electric Guitar (clean)'],Beginner,2/8
183,Alice in Chains,Nutshell,Jerry Cantrell,"['Guitar 1', 'Acoustic Guitar (nylon)']",Beginner,2/8
